index,date,observation,value
FI09,1962-05,Air temperature,8.3
FI10,1962-05,Air temperature,4.1
FI11,1962-05,Air temperature,7.8
FI12,1962-05,Air temperature,7.2
FI13,1962-05,Air temperature,7.5
FI14,1962-05,Air temperature,6.6
FI15,1962-05,Air temperature,7.8
FI16,1962-05,Air temperature,8.7
FI17,1962-05,Air temperature,8.3
FI18,1962-05,Air temperature,8.5
FI19,1962-05,Air temperature,8.3
FI02,1962-06,Air temperature,11.9
FI03,1962-06,Air temperature,11.3
FI04,1962-06,Air temperature,11.9
FI05,1962-06,Air temperature,10.3
FI06,1962-06,Air temperature,11.7
FI07,1962-06,Air temperature,9.8
FI08,1962-06,Air temperature,11.5
FI09,1962-06,Air temperature,11.6
FI10,1962-06,Air temperature,9.1
FI11,1962-06,Air temperature,11.2
FI12,1962-06,Air temperature,11.0
FI13,1962-06,Air temperature,10.9
FI14,1962-06,Air temperature,10.5
FI15,1962-06,Air temperature,11.5
FI16,1962-06,Air temperature,12.0
FI17,1962-06,Air temperature,11.5
FI18,1962-06,Air temperature,11.8
FI19,1962-06,Air temperature,11.8
FI02,1962-07,Air temperature,14.7
FI03,1962-07,Air temperature,13.3
FI04,1962-07,Air temperature,14.1
FI05,1962-07,Air temperature,12.5
FI06,1962-07,Air temperature,14.0
FI07,1962-07,Air temperature,12.3
FI08,1962-07,Air temperature,13.4
FI09,1962-07,Air temperature,14.8
FI10,1962-07,Air temperature,11.1
FI11,1962-07,Air temperature,13.5
FI12,1962-07,Air temperature,13.1
FI13,1962-07,Air temperature,13.5
FI14,1962-07,Air temperature,12.7
FI15,1962-07,Air temperature,13.7
FI16,1962-07,Air temperature,14.4
FI17,1962-07,Air temperature,14.0
FI18,1962-07,Air temperature,14.5
FI19,1962-07,Air temperature,14.4
FI02,1962-08,Air temperature,12.3
FI03,1962-08,Air temperature,11.6
FI04,1962-08,Air temperature,11.9
FI05,1962-08,Air temperature,10.6
FI06,1962-08,Air temperature,12.4
FI07,1962-08,Air temperature,11.2
FI08,1962-08,Air temperature,11.5
FI09,1962-08,Air temperature,12.8
FI10,1962-08,Air temperature,9.6
FI11,1962-08,Air temperature,11.7
FI12,1962-08,Air temperature,11.9
FI13,1962-08,Air temperature,11.3
FI14,1962-08,Air temperature,11.0
FI15,1962-08,Air temperature,11.5
FI16,1962-08,Air temperature,12.5
FI17,1962-08,Air temperature,12.5
FI18,1962-08,Air temperature,12.7
FI19,1962-08,Air temperature,12.7
FI02,1962-09,Air temperature,9.3
FI03,1962-09,Air temperature,8.2
FI04,1962-09,Air temperature,8.6
FI05,1962-09,Air temperature,7.2
FI06,1962-09,Air temperature,8.8
FI07,1962-09,Air temperature,8.1
FI08,1962-09,Air temperature,8.1
FI09,1962-09,Air temperature,9.7
FI10,1962-09,Air temperature,5.8
FI11,1962-09,Air temperature,8.5
FI12,1962-09,Air temperature,8.8
FI13,1962-09,Air temperature,8.0
FI14,1962-09,Air temperature,7.3
FI15,1962-09,Air temperature,8.3
FI16,1962-09,Air temperature,9.1
FI17,1962-09,Air temperature,9.4
FI18,1962-09,Air temperature,9.5
FI19,1962-09,Air temperature,9.3
FI02,1962-10,Air temperature,5.7
FI03,1962-10,Air temperature,5.6
FI04,1962-10,Air temperature,5.3
FI05,1962-10,Air temperature,3.2
FI06,1962-10,Air temperature,6.1
FI07,1962-10,Air temperature,5.6
FI08,1962-10,Air temperature,5.3
FI09,1962-10,Air temperature,6.6
FI10,1962-10,Air temperature,0.6
FI11,1962-10,Air temperature,5.7
FI12,1962-10,Air temperature,6.5
FI13,1962-10,Air temperature,4.4
FI14,1962-10,Air temperature,3.5
FI15,1962-10,Air temperature,4.9
FI16,1962-10,Air temperature,6.2
FI17,1962-10,Air temperature,6.6
FI18,1962-10,Air temperature,6.8
FI19,1962-10,Air temperature,6.7
FI02,1962-11,Air temperature,0.7
FI03,1962-11,Air temperature,-0.1
FI04,1962-11,Air temperature,0.4
FI05,1962-11,Air temperature,-1.1
FI06,1962-11,Air temperature,0.6
FI07,1962-11,Air temperature,0.2
FI08,1962-11,Air temperature,0.0
FI09,1962-11,Air temperature,1.8
FI10,1962-11,Air temperature,-3.2
FI11,1962-11,Air temperature,0.2
FI12,1962-11,Air temperature,0.8
FI13,1962-11,Air temperature,0.1
FI14,1962-11,Air temperature,-1.0
FI15,1962-11,Air temperature,0.1
FI16,1962-11,Air temperature,1.0
FI17,1962-11,Air temperature,0.9
FI18,1962-11,Air temperature,1.6
FI19,1962-11,Air temperature,1.2
FI02,1962-12,Air temperature,-8.3
FI03,1962-12,Air temperature,-9.7
FI04,1962-12,Air temperature,-9.6
FI05,1962-12,Air temperature,-12.8
FI06,1962-12,Air temperature,-8.1
FI07,1962-12,Air temperature,-8.3
FI08,1962-12,Air temperature,-9.8
FI09,1962-12,Air temperature,-6.9
FI10,1962-12,Air temperature,-15.4
FI11,1962-12,Air temperature,-8.6
FI12,1962-12,Air temperature,-7.8
FI13,1962-12,Air temperature,-11.0
FI14,1962-12,Air temperature,-11.7
FI15,1962-12,Air temperature,-10.4
FI16,1962-12,Air temperature,-8.4
FI17,1962-12,Air temperature,-6.5
FI18,1962-12,Air temperature,-6.4
FI19,1962-12,Air temperature,-6.0
FI02,1963-01,Air temperature,-12.6
FI03,1963-01,Air temperature,-10.8
FI04,1963-01,Air temperature,-13.1
FI05,1963-01,Air temperature,-15.1
FI06,1963-01,Air temperature,-10.9
FI07,1963-01,Air temperature,-10.7
FI08,1963-01,Air temperature,-11.9
FI09,1963-01,Air temperature,-10.6
FI10,1963-01,Air temperature,-15.5
FI11,1963-01,Air temperature,-10.7
FI12,1963-01,Air temperature,-9.1
FI13,1963-01,Air temperature,-15.0
FI14,1963-01,Air temperature,-14.0
FI15,1963-01,Air temperature,-13.2
FI16,1963-01,Air temperature,-11.2
FI17,1963-01,Air temperature,-9.1
FI18,1963-01,Air temperature,-9.8
FI19,1963-01,Air temperature,-9.8
FI02,1963-02,Air temperature,-12.6
FI03,1963-02,Air temperature,-12.2
FI04,1963-02,Air temperature,-13.5
FI05,1963-02,Air temperature,-14.0
FI06,1963-02,Air temperature,-12.2
FI07,1963-02,Air temperature,-12.3
FI08,1963-02,Air temperature,-12.8
